,,,,,,,,,,,MUA VÀO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,HÃNG XE,LOẠI XE,TÌNH TRẠNG,BIỂN KIỂM SOÁT,SỐ KM,MÀU XE,NĂM SX XE,GIÁ ĐĂNG BÁN,GIÁ THU VỀ,LƯƠNG CTV,GIÁ MUA VÀO,LẦN 1,LẦN 2,LẦN 3,CÒN LẠI,HOA HỒNG MÔI GIỚI,CHI PHÍ XĂNG/CĐ/VÉ XE,CHI PHÍ KHÁC,NGÀY NHẬP KHO,THÁNG NHẬP XE,PHỤ TRÁCH MUA XE,LƯƠNG THU MUA,CHI PHÍ SỬA CHỮA,CHI PHÍ DỌN XE ĐÁNH PÁT,GHI CHÚ,GIÁ BÁN,NGÀY NHẬN CỌC,CHI PHÍ CÔNG CHỨNG,PHÍ RÚT HỒ SƠ,CHI PHÍ ĐỔI/ THUÊ PIN,CHI PHÍ KHÁC (Tặng hoa + phụ kiện....),HOA HỒNG MÔI GIỚI,PHỤ TRÁCH BÁN HÀNG,LƯƠNG BÁN HÀNG,"CỘNG GIÁ THÀNH
(GIÁ BÁN - CP KHÁC)",GIÁ VỐN (GIÁ MUA+CP KHÁC),LỢI NHUẬN GỘP,THU TIỀN LẦN 1,THU TIỀN LẦN 2,THU TIỀN LẦN 3,THU TIỀN LẦN 4,CÒN PHẢI THU BÁN XE,HÌNH THỨC THANH TOÁN,NGÂN HÀNG,SỐ TIỀN VAY,SỐ NGÀY TỒN KHO,ĐÃ HOÀN BÁN,GHI CHÚ KHÁC,,,,5/21/2026
42,VINFAST,VF E34,PIN TIÊN PHONG,51K-49860,31.000,Trắng,2022,485.000.000,475.000.000,5.000.000,435.000.000,,,,,5.000.000,,,6/17/2025,6,Thái,3.000.000,800.000,,,480.000.000,03/05/2025,,2.300.000,1.121.000,4.990.000,,Vũ,5.000.000,466.589.000,443.800.000,22.789.000,15.000.000,190.000.000,170.000.000,105.000.000,0,,,,338,/07/25,Bao sang tên,,,,
43,VINFAST,VF5 PLUS,MUA PIN,47A-42256,18.000,trắng,2024,470.000.000,460.000.000,5.000.000,410.000.000,,,,,10.000.000,,,6/20/2025,6,Tuấn,3.000.000,800.000,,,440.000.000,02/07/2025,1.400.000,,,,,,,438.600.000,423.800.000,14.800.000,440.000.000,,,,0,,,,335,/06/25,,,,,
44,VINFAST,LUX SA,,60K-04910,37.000,trắng,2021,670.000.000,660.000.000,5.000.000,603.000.000,,,,,,1.400.000,250.000,6/21/2025,6,Vinh,3.000.000,650.000,,,645.000.000,,1.200.000,1.500.000,,600.000,2.000.000,Hà Tuấn,5.000.000,634.700.000,608.300.000,26.400.000,25.000.000,600.000.000,20.000.000,,0,,,,334,/07/25,,,,,
45,VINFAST,VF3,THUÊ PIN,72A-83861,17.000,Đỏ,2024,240.000.000,230.000.000,3.000.000,190.000.000,,,,,5.000.000,200.000,,6/20/2025,7,Vũ,3.000.000,,,,225.000.000,26/06/2025,370.000,3.000.000,,1.050.000,,My,3.000.000,217.580.000,198.200.000,19.380.000,5.000.000,200.000.000,20.000.000,,0,,,,335,/06/25,,,,,
46,VINFAST,LUX A PLUS,,62A-21827,33.000,TRắng,2020,580.000.000,570.000.000,5.000.000,528.000.000,,,,,5.000.000,,,6/30/2025,6,Thái,3.000.000,1.350.000,,,581.000.000,22/06/2025,450.000,2.000.000,,13.000.000,400.000,vinh,5.000.000,560.150.000,537.350.000,22.800.000,10.000.000,371.000.000,200.000.000,,0,,,,325,/07/25,Bao sang tên,,,,
47,MITSUBISHI,OUTLANDER CVT,,51K-43888,33.000,Đen,2022,685.000.000,675.000.000,5.000.000,643.000.000,,,,,,,,6/30/2025,6,Bình,0,,,,670.000.000,28/09/2025,980.000,,,,,,,669.020.000,643.000.000,2.000.000,300.000.000,24.526.000,,,,,,,325,/09/25,,,,,
48,VINFAST,LUX A PLUS,,93A-36304,46.000,TRắng,2022,640.000.000,630.000.000,5.000.000,530.000.000,,,,,6.000.000,200.000,,6/25/2025,6,Tuấn,3.000.000,1.500.000,200.000,GF,605.000.000,05/08/2025,350.000,2.000.000,140.000,500.000,,Vinh,5.000.000,597.010.000,540.900.000,56.110.000,10.000.000,585.000.000,10.000.000,,0,TRẢ THẲNG,JAAC,,330,/08/25,,,,,
49,VINFAST,VF E34,THUÊ PIN,51K-29392,62.000,Đỏ,2022,460.000.000,450.000.000,5.000.000,395.000.000,,,,,3.000.000,,,7/2/2025,7,Vinh,3.000.000,,,,425.000.000,,690.000,,,610.000,,Vũ,,423.700.000,401.000.000,22.700.000,425.000.000,,,,0,,,,323,/07/25,,,,,
50,VINFAST,LUX A  PRE,Công ty,51H-72965,29.000,Xanh,2019,550.000.000,540.000.000,5.000.000,485.000.000,,,,,,,800.000,7/3/2025,7,Vũ,3.000.000,1.200.000,,,515.000.000,30/10/2025,,2.300.000,,2.200.000,500.000,Thái,5.000.000,505.000.000,490.000.000,15.000.000,500.000.000,15.000.000,,,0,,,,322,/10/25,tặng DV đăng ký,,,,
51,VINFAST,VF3,THUÊ PIN,71A-16690,1.200,Hồng,2024,245.000.000,240.000.000,3.000.000,208.000.000,,,,,,,,7/2/2025,7,Vinh,3.000.000,,,,247.500.000,02/07/2025,650.000,2.060.000,,9.186.000,,My,3.000.000,232.604.000,211.000.000,21.604.000,10.000.000,215.000.000,22.500.000,,0,,,,323,/07/25,Bao sang tên,,,,
52,FORD ,RANGER WILDTRAK 2.0L 4x4,,51D-66389,69.000,Đen,2020,668.000.000,655.000.000,5.000.000,565.000.000,10.000.000,471.500.000,83.500.000,0,,,400.000,7/7/2025,7,Tuấn,3.000.000,,500.000,,620.000.000,15/08/2025,400.000,,1.212.000,10.000.000,,Anh Quyên,,608.388.000,568.900.000,500.000,590.000.000,30.000.000,,,0,,,,318,/08/25,50% với anh Quyên dã chuyển a quyên 307500k,,,,
53,VINFAST,LUX SA BASE,,51H-36373,13.000,Đỏ,2019,630.000.000,620.000.000,5.000.000,530.000.000,30.000.000,500.000.000,,0,,,,7/8/2025,7,Việt,3.000.000,,,GF,610.000.000,10/07/2025,609.000,2.300.000,,,,Vinh,5.000.000,602.091.000,533.000.000,69.091.000,20.000.000,550.000.000,40.000.000,,0,,,,317,/07/25,,,,,
54,VINFAST,LUX A PLUS,,79A-29954,61.000,trắng,2019,520.000.000,510.000.000,5.000.000,453.000.000,10.000.000,390.000.000,63.000.000,0,10.000.000,1.530.000,300.000,7/8/2025,7,Vũ,3.000.000,1.750.000,,,510.000.000,14/10/2025,350.000,1.500.000,,700.000,10.000.000,,,497.450.000,469.580.000,27.870.000,20.000.000,460.000.000,30.000.000,,0,,,,317,/10/25,,,,,
55,KIA ,SEDONA 2.2L DAT Luxury,,51H-88843,71.000,Đỏ,2021,840.000.000,830.000.000,5.000.000,730.000.000,20.000.000,710.000.000,5.000.000,0,5.000.000,,,7/10/2025,7,Thái,3.000.000,5.950.000,,,820.000.000,13/08/2025,600.000,2.300.000,,2.137.000,,Hà tuấn,5.000.000,809.963.000,743.950.000,66.013.000,10.000.000,240.000.000,570.000.000,,0,TRẢ GÓP,VP Bank,570000000,315,/08/25,,,,,
56,KIA ,SEDONA 2.2L DAT Luxury,,51H-55799,62.000,Ghi,2019,790.000.000,770.000.000,5.000.000,712.000.000,20.000.000,680.000.000,12.000.000,0,,,,7/9/2025,7,Tân,,1.120.000,,,767.000.000,,400.000,2.300.000,,,,Hải Dương,5.000.000,759.300.000,713.120.000,23.090.000,757.000.000,10.000.000,,,0,,,,316,/07/25,50% với Khoa Nam,,,,
57,VINFAST,LUX A BASE,,93A-37478,25.000,Trắng,2022,580.000.000,570.000.000,5.000.000,517.000.000,20.000.000,497.000.000,,0,,300.000,,7/15/2025,7,Việt,3.000.000,400.000,,GF,580.000.000,12/08/2025,1.800.000,3.000.000,2.200.000,2.500.000,10.000.000,Bình,5.000.000,555.500.000,520.700.000,34.800.000,10.000.000,570.000.000,,,0,,,,310,/08/25,,,,,
58,VINFAST,E34,THUÊ PIN,51K-56251,60.000,Đen,2022,,,,377.000.000,50.000.000,327.000.000,15.000.000,0,15.000.000,,,7/11/2025,7,Vũ,3.000.000,,,,430.000.000,,300.000,,,400.000,,Vũ,,429.300.000,395.000.000,34.300.000,430.000.000,,,,0,,,,314,/07/25,Bán Phú GF,,,,
59,VINFAST,LUX A BASE,,70A-39119,39.000,Đen,2022,550.000.000,540.000.000,5.000.000,490.000.000,20.000.000,470.000.000,,0,,1.050.000,2.400.000,7/14/2025,7,Vinh,3.000.000,4.000.000,,,540.000.000,12/08/2025,410.000,3.000.000,1.910.000,2.550.000,,Hà Tuấn,5.000.000,527.130.000,500.450.000,26.680.000,520.000.000,20.000.000,,,0,,,,311,/08/25,,,,,
